,Age,Total_Bilirubin,Direct_Bilirubin,Alkaline_Phosphotase,Alamine_Aminotransferase,Aspartate_Aminotransferase,Total_Protiens,Albumin,Albumin_and_Globulin_Ratio,Dataset
Age,1.0,0.01176265141489886,0.00752913808275563,0.08042461233880235,-0.08688275859871657,-0.019909857441246803,-0.18746126145981729,-0.26592436130070135,-0.21640834634068543,-0.1373506268125607
Total_Bilirubin,0.01176265141489886,1.0,0.8746179301164125,0.20666879518008913,0.21406474018363256,0.23783132253123265,-0.008099343401034822,-0.2222504060257666,-0.2062671856754323,-0.2202075646749199
Direct_Bilirubin,0.00752913808275563,0.8746179301164125,1.0,0.2349387058188171,0.23389405445942496,0.2575439810938504,-0.00013874142426106262,-0.22853057292087273,-0.20012468524933963,-0.24604634157349178
Alkaline_Phosphotase,0.08042461233880235,0.20666879518008913,0.2349387058188171,1.0,0.12567995086767308,0.16719589782818683,-0.028514355620375364,-0.16545286617707644,-0.2341664994155001,-0.18486560581827338
Alamine_Aminotransferase,-0.08688275859871657,0.21406474018363256,0.23389405445942496,0.12567995086767308,1.0,0.7919656848536132,-0.04251819025159494,-0.029741673237366865,-0.0023749904005671693,-0.1634161567489026
Aspartate_Aminotransferase,-0.019909857441246803,0.23783132253123265,0.2575439810938504,0.16719589782818683,0.7919656848536132,1.0,-0.025645365053886742,-0.08529030169921406,-0.07003982757091977,-0.1519337488964895
Total_Protiens,-0.18746126145981729,-0.008099343401034822,-0.00013874142426106262,-0.028514355620375364,-0.04251819025159494,-0.025645365053886742,1.0,0.7840533353871918,0.23488718110639972,0.03500823580385893
Albumin,-0.26592436130070135,-0.2222504060257666,-0.22853057292087273,-0.16545286617707644,-0.029741673237366865,-0.08529030169921406,0.7840533353871918,1.0,0.6896323418966299,0.16138782036614938
Albumin_and_Globulin_Ratio,-0.21640834634068543,-0.2062671856754323,-0.20012468524933963,-0.2341664994155001,-0.0023749904005671693,-0.07003982757091977,0.23488718110639972,0.6896323418966299,1.0,0.16313136324394484
Dataset,-0.1373506268125607,-0.2202075646749199,-0.24604634157349178,-0.18486560581827338,-0.1634161567489026,-0.1519337488964895,0.03500823580385893,0.16138782036614938,0.16313136324394484,1.0
