,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Age,583.0,,,,44.74614065180103,16.18983330469438,4.0,33.0,45.0,58.0,90.0
Gender,583,2,Male,441,,,,,,,
Total_Bilirubin,583.0,,,,3.298799313893653,6.209521726180149,0.4,0.8,1.0,2.6,75.0
Direct_Bilirubin,583.0,,,,1.486106346483705,2.8084976176589644,0.1,0.2,0.3,1.3,19.7
Alkaline_Phosphotase,583.0,,,,290.57632933104634,242.93798917934396,63.0,175.5,208.0,298.0,2110.0
Alamine_Aminotransferase,583.0,,,,80.71355060034305,182.62035603420242,10.0,23.0,35.0,60.5,2000.0
Aspartate_Aminotransferase,583.0,,,,109.91080617495712,288.9185290517341,10.0,25.0,42.0,87.0,4929.0
Total_Protiens,583.0,,,,6.483190394511149,1.0854514840234657,2.7,5.8,6.6,7.2,9.6
Albumin,583.0,,,,3.141852487135506,0.7955188059640255,0.9,2.6,3.1,3.8,5.5
Albumin_and_Globulin_Ratio,579.0,,,,0.9470639032815197,0.3195921076723706,0.3,0.7,0.93,1.1,2.8
Dataset,583.0,,,,1.2864493996569468,0.4524901515081165,1.0,1.0,1.0,2.0,2.0
